03.07.2013	53005	880
04.07.2013	47951	1042
05.07.2013	51939	1293
06.07.2013	26461	585
07.07.2013	9104	157
08.07.2013	64371	1625
09.07.2013	64602	3114
10.07.2013	68610	3521
11.07.2013	70574	3694
12.07.2013	71965	3599
13.07.2013	30013	1466
14.07.2013	11572	386
15.07.2013	88948	3808
16.07.2013	94511	3838
17.07.2013	83947	4425
18.07.2013	79517	4480
19.07.2013	85122	5411
20.07.2013	33687	2649
21.07.2013	2253	230
22.07.2013	68583	4459
23.07.2013	49952	4221
24.07.2013	49337	4228
25.07.2013	50007	5686
26.07.2013	45935	5399
27.07.2013	15748	1588
28.07.2013	7177	891
29.07.2013	39181	4114
30.07.2013	42126	3979
31.07.2013	41217	3760
01.08.2013	44856	4714
02.08.2013	39881	4305
03.08.2013	15744	1649
04.08.2013	6641	669
05.08.2013	42382	4935
06.08.2013	45047	5494
07.08.2013	48698	5787
08.08.2013	53758	6519
09.08.2013	57779	7312
10.08.2013	26152	3626
11.08.2013	9252	1116
12.08.2013	69018	8033
13.08.2013	71298	9073
14.08.2013	67297	8606
15.08.2013	75843	10022
16.08.2013	74728	9274
17.08.2013	31640	4234
18.08.2013	5497	640
19.08.2013	93221	10683
20.08.2013	82556	10253
21.08.2013	62388	8277
22.08.2013	57045	7674
23.08.2013	36866	4783
24.08.2013	9744	1256
25.08.2013	9193	1204
26.08.2013	19936	2762
27.08.2013	68495	8104
28.08.2013	59915	7150
29.08.2013	52386	5145
30.08.2013	56807	7098
31.08.2013	26097	3575
01.09.2013	12359	1526
02.09.2013	55135	6839
03.09.2013	45647	5106
04.09.2013	42053	4539
05.09.2013	42667	6042
06.09.2013	47525	7006
08.09.2013	10078	1500
09.09.2013	63846	8418
10.09.2013	68313	10570
11.09.2013	57749	8192
12.09.2013	66618	10291
13.09.2013	68088	11232
14.09.2013	30313	5487
15.09.2013	11655	2176
16.09.2013	72742	11499
17.09.2013	81336	12442
18.09.2013	75584	11732
19.09.2013	84841	12081
20.09.2013	76388	12239
21.09.2013	29928	5776
22.09.2013	10590	2168
23.09.2013	44113	6846
24.09.2013	48951	8197
25.09.2013	51993	9306
26.09.2013	54993	10086
27.09.2013	53168	9600
28.09.2013	22915	4541
29.09.2013	9748	2038
30.09.2013	62400	11304
01.10.2013	59011	11439
02.10.2013	46751	8781
03.10.2013	39186	7165
04.10.2013	42039	8329
05.10.2013	23124	5246
06.10.2013	9380	1463
07.10.2013	55566	11805
08.10.2013	64041	13902
09.10.2013	64581	13864
10.10.2013	64451	14342
11.10.2013	65830	14197
12.10.2013	27911	7127
13.10.2013	10832	2954
14.10.2013	72364	16449
15.10.2013	80744	18082
16.10.2013	81110	17599
17.10.2013	83908	18506
18.10.2013	92221	18894
19.10.2013	42603	10637
20.10.2013	13451	3483
21.10.2013	71602	14575
22.10.2013	68650	14275
23.10.2013	63027	13721
24.10.2013	57707	12305
25.10.2013	53703	11418
26.10.2013	27168	6378
27.10.2013	9568	2330
28.10.2013	59043	12898
29.10.2013	54622	11890
30.10.2013	47311	7691
31.10.2013	49062	11262
01.11.2013	53052	12678
02.11.2013	23107	4871
03.11.2013	9715	2082
04.11.2013	50805	9886
05.11.2013	51055	12799
06.11.2013	52456	13348
07.11.2013	55347	14750
08.11.2013	68051	19075
09.11.2013	33026	9673
10.11.2013	13059	3928
11.11.2013	86729	21139
12.11.2013	90150	21930
13.11.2013	76158	18837
14.11.2013	75511	19389
15.11.2013	91850	22038
16.11.2013	41571	11043
17.11.2013	16485	4252
18.11.2013	108664	26317
19.11.2013	113084	25882
20.11.2013	101294	24569
21.11.2013	77190	18615
22.11.2013	68858	16053
23.11.2013	38849	10007
24.11.2013	14396	3806
25.11.2013	74928	17872
26.11.2013	80071	19665
27.11.2013	67477	17470
28.11.2013	63369	17012
29.11.2013	67819	17989
30.11.2013	35386	10639
01.12.2013	18286	5807
02.12.2013	70259	20044
03.12.2013	64784	17925
04.12.2013	62403	18082
05.12.2013	59993	17620
06.12.2013	62284	19108
07.12.2013	40059	13277
08.12.2013	15849	5585
09.12.2013	86296	26921
10.12.2013	90539	28041
11.12.2013	93231	26888
12.12.2013	95063	27408
13.12.2013	96112	27160
14.12.2013	46444	19837
15.12.2013	16645	5206
16.12.2013	111638	32039
17.12.2013	114832	32609
18.12.2013	110224	31448
19.12.2013	103272	29663
20.12.2013	105397	30840
21.12.2013	48299	15375
22.12.2013	16044	5262
23.12.2013	99728	30043
24.12.2013	98423	28713
25.12.2013	92724	27993
26.12.2013	88088	27238
27.12.2013	85298	25977
28.12.2013	44347	14307
29.12.2013	15274	5140
30.12.2013	88089	25740
31.12.2013	50038	14647
01.01.2014	4073	1404
02.01.2014	26982	8758
03.01.2014	47724	15400
04.01.2014	28445	9696
05.01.2014	12387	4355
06.01.2014	20375	6565
07.01.2014	7553	2517
08.01.2014	78243	26813
09.01.2014	84836	29093
10.01.2014	92931	30543
11.01.2014	57762	18947
12.01.2014	16285	5670
13.01.2014	110297	35753
14.01.2014	104166	32336
15.01.2014	113208	36581
16.01.2014	101924	33698
17.01.2014	133306	41092
18.01.2014	57911	19212
19.01.2014	16754	6009
20.01.2014	122071	39319
21.01.2014	72583	22417
22.01.2014	97606	29634
23.01.2014	94926	28104
24.01.2014	90458	24964
25.01.2014	47148	15368
26.01.2014	5094	1714
27.01.2014	82424	26708
28.01.2014	75615	23769
29.01.2014	64334	20698
30.01.2014	59545	19289
31.01.2014	67522	22400
01.02.2014	38299	13976
02.02.2014	13443	5341
03.02.2014	76957	26172
04.02.2014	75016	25069
05.02.2014	69503	23523
06.02.2014	67948	23153
07.02.2014	106972	38421
08.02.2014	21259	7556
09.02.2014	16116	6282
10.02.2014	110621	37908
11.02.2014	115839	38466
12.02.2014	107277	35428
13.02.2014	100552	32499
